Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
46,20240207-MicroHoles_study_1 (0.264) (280) ,11439,-25.0000,-12.5384,2.5000,-24.8296,-12.4504,2.5080,0.1920,0.1704,0.0880,0.0080,1.3868,0.0000,-1.3868,0.0000,1.3766,0.0002,-1.3766,0.0005,0.0102,0.7356,
47,20240207-MicroHoles_study_1 (0.264) (280) ,11472,-25.0000,-13.9252,2.5000,-24.8286,-13.8276,2.5088,0.1974,0.1714,0.0976,0.0088,,,,,,,,,,,
48,20240207-MicroHoles_study_1 (0.264) (280) ,11469,-25.0000,-15.3121,2.5000,-24.8283,-15.2048,2.5093,0.2027,0.1717,0.1074,0.0093,1.3869,0.0000,-1.3869,0.0000,1.3771,0.0004,-1.3771,0.0006,0.0097,0.7012,
49,20240207-MicroHoles_study_1 (0.264) (280) ,11475,-25.0000,-16.7026,2.5000,-24.8262,-16.5862,2.5098,0.2094,0.1738,0.1163,0.0098,,,,,,,,,,,
50,20240207-MicroHoles_study_1 (0.264) (280) ,11466,-25.0000,-18.0952,2.5000,-24.8258,-17.9680,2.5082,0.2159,0.1742,0.1272,0.0082,1.3926,0.0000,-1.3926,0.0000,1.3818,0.0004,-1.3818,-0.0016,0.0109,0.7804,
51,20240207-MicroHoles_study_1 (0.264) (280) ,11481,-25.0000,-19.4853,2.5000,-24.8259,-19.3473,2.5094,0.2224,0.1741,0.1379,0.0094,,,,,,,,,,,
52,20240207-MicroHoles_study_1 (0.264) (280) ,11478,-25.0000,-20.8753,2.5000,-24.8266,-20.7278,2.5108,0.2279,0.1734,0.1476,0.0108,1.3901,0.0000,-1.3901,0.0000,1.3804,-0.0008,-1.3804,0.0013,0.0096,0.6917,
53,20240207-MicroHoles_study_1 (0.264) (280) ,11484,-25.0000,-22.2634,2.5000,-24.8258,-22.1064,2.5102,0.2347,0.1742,0.1570,0.0102,,,,,,,,,,,
54,20240207-MicroHoles_study_1 (0.264) (280) ,11487,-25.0000,-23.6516,2.5000,-24.8256,-23.4825,2.5101,0.2431,0.1744,0.1691,0.0101,1.3881,0.0000,-1.3881,0.0000,1.3761,0.0002,-1.3761,-0.0001,0.0121,0.8682,
55,20240207-MicroHoles_study_1 (0.264) (280) ,11436,-25.0000,-25.0384,2.5000,-24.8264,-24.8598,2.5110,0.2493,0.1736,0.1786,0.0110,,,,,,,,,,,
56,20240207-MicroHoles_study_1 (0.264) (280) ,11499,-25.0000,-26.4252,2.5000,-24.8270,-26.2371,2.5113,0.2559,0.1730,0.1881,0.0113,1.3869,0.0000,-1.3869,0.0000,1.3773,-0.0005,-1.3773,0.0003,0.0095,0.6865,
57,20240207-MicroHoles_study_1 (0.264) (280) ,11496,-25.0000,-27.8121,2.5000,-24.8265,-27.6147,2.5107,0.2630,0.1735,0.1974,0.0107,,,,,,,,,,,
58,20240207-MicroHoles_study_1 (0.264) (280) ,11502,-25.0000,-29.2026,2.5000,-24.8264,-28.9942,2.5107,0.2715,0.1736,0.2084,0.0107,1.3904,0.0000,-1.3904,0.0000,1.3794,0.0002,-1.3794,0.0000,0.0110,0.7917,
59,20240207-MicroHoles_study_1 (0.264) (280) ,11493,-25.0000,-30.6803,2.5000,-24.8270,-30.4621,2.5103,0.2786,0.1730,0.2182,0.0103,,,,,,,,,,,
60,20240207-MicroHoles_study_1 (0.264) (280) ,11508,-25.0000,-31.9848,2.5000,-24.8270,-31.7578,2.5082,0.2855,0.1730,0.2269,0.0082,1.3045,0.0000,-1.3045,0.0000,1.2957,0.0000,-1.2957,-0.0021,0.0088,0.6721,
61,20240207-MicroHoles_study_1 (0.264) (280) ,11505,-25.0000,-33.3753,2.5000,-24.8262,-33.1378,2.5078,0.2944,0.1738,0.2375,0.0078,,,,,,,,,,,
62,20240207-MicroHoles_study_1 (0.264) (280) ,11511,-25.0000,-34.7634,2.5000,-24.8262,-34.5149,2.5088,0.3035,0.1738,0.2486,0.0088,1.3881,0.0000,-1.3881,0.0000,1.3770,0.0000,-1.3770,0.0010,0.0111,0.7978,
63,20240207-MicroHoles_study_1 (0.264) (280) ,11514,-25.0000,-36.5293,2.5000,-24.8266,-36.2687,2.5082,0.3131,0.1734,0.2606,0.0082,,,,,,,,,,,
64,20240207-MicroHoles_study_1 (0.264) (280) ,11490,-25.0000,-37.5379,2.5000,-24.8264,-37.2707,2.5058,0.3187,0.1736,0.2671,0.0058,1.0086,0.0000,-1.0086,0.0000,1.0021,0.0002,-1.0021,-0.0024,0.0066,0.6499,
65,20240207-MicroHoles_study_1 (0.264) (280) ,11523,-25.0000,-38.9233,2.5000,-24.8256,-38.6448,2.5048,0.3286,0.1744,0.2785,0.0048,,,,,,,,,,,
66,20240207-MicroHoles_study_1 (0.264) (280) ,11520,-25.0000,-40.3086,2.5000,-24.8275,-40.0194,2.5033,0.3367,0.1725,0.2892,0.0033,1.3854,0.0000,-1.3854,0.0000,1.3747,-0.0019,-1.3747,-0.0015,0.0107,0.7736,
67,20240207-MicroHoles_study_1 (0.264) (280) ,11526,-25.0000,-41.6967,2.5000,-24.8296,-41.3981,2.5040,0.3439,0.1704,0.2987,0.0040,,,,,,,,,,,
68,20240207-MicroHoles_study_1 (0.264) (280) ,11517,-25.0000,-43.0848,2.5000,-24.8298,-42.7776,2.5010,0.3511,0.1702,0.3072,0.0010,1.3881,0.0000,-1.3881,0.0000,1.3796,-0.0002,-1.3796,-0.0030,0.0085,0.6114,
69,20240207-MicroHoles_study_1 (0.264) (280) ,11532,-25.0000,-44.4683,2.5000,-24.8297,-44.1498,2.4996,0.3612,0.1703,0.3185,-0.0004,,,,,,,,,,,
70,20240207-MicroHoles_study_1 (0.264) (280) ,11529,-25.0000,-45.8518,2.5000,-24.8318,-45.5227,2.4992,0.3696,0.1682,0.3291,-0.0008,1.3835,0.0000,-1.3835,0.0000,1.3729,-0.0022,-1.3729,-0.0004,0.0106,0.7652,
71,20240207-MicroHoles_study_1 (0.264) (280) ,11535,-25.0000,-47.2346,2.5000,-24.8346,-46.8974,2.4973,0.3755,0.1654,0.3372,-0.0027,,,,,,,,,,,
72,20240207-MicroHoles_study_1 (0.264) (280) ,11538,-25.0000,-48.6175,2.5000,-24.8349,-48.2730,2.4950,0.3821,0.1651,0.3445,-0.0050,1.3829,0.0000,-1.3829,0.0000,1.3755,-0.0003,-1.3755,-0.0023,0.0073,0.5310,
73,20240207-MicroHoles_study_1 (0.264) (280) ,692,-25.0000,-50.0000,2.5000,-24.8329,-49.6472,2.4919,0.3905,0.1671,0.3528,-0.0081,,,,,,,,,,,
